-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.85	0.15
-0.53	-0.84	0.15
-0.53	-0.84	0.15
-0.53	-0.84	0.15
-0.53	-0.84	0.15
-0.54	-0.85	0.15
-0.54	-0.85	0.15
-0.54	-0.85	0.15
-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.52	-0.84	0.16
-0.52	-0.84	0.16
-0.53	-0.84	0.16
-0.53	-0.85	0.17
-0.54	-0.85	0.17
-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.84	0.16
-0.53	-0.84	0.16
-0.53	-0.84	0.16
-0.53	-0.84	0.15
-0.53	-0.84	0.15
-0.53	-0.85	0.15
-0.53	-0.85	0.15
-0.53	-0.85	0.15
-0.52	-0.85	0.16
-0.52	-0.85	0.16
-0.52	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.85	0.17
-0.53	-0.85	0.17
-0.53	-0.84	0.17
-0.53	-0.84	0.17
-0.53	-0.84	0.17
-0.53	-0.84	0.17
-0.53	-0.84	0.16
-0.54	-0.84	0.16
-0.54	-0.84	0.16
-0.54	-0.84	0.16
-0.54	-0.84	0.16
-0.54	-0.84	0.16
-0.53	-0.84	0.16
-0.53	-0.84	0.15
-0.53	-0.84	0.15
-0.53	-0.85	0.15
-0.53	-0.85	0.15
-0.52	-0.85	0.15
-0.52	-0.85	0.15
-0.53	-0.85	0.15
-0.53	-0.85	0.15
-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.84	0.16
-0.53	-0.84	0.16
-0.53	-0.84	0.16
-0.53	-0.84	0.16
-0.53	-0.84	0.16
-0.54	-0.85	0.16
-0.54	-0.85	0.16
-0.54	-0.85	0.16
-0.54	-0.84	0.16
-0.54	-0.83	0.16
-0.54	-0.83	0.15
-0.54	-0.84	0.15
-0.53	-0.85	0.15
-0.53	-0.85	0.15
-0.53	-0.86	0.15
-0.53	-0.85	0.15
-0.52	-0.85	0.16
-0.52	-0.85	0.16
-0.52	-0.85	0.16
-0.52	-0.85	0.15
-0.52	-0.85	0.15
-0.52	-0.85	0.15
-0.52	-0.86	0.15
-0.52	-0.86	0.15
-0.52	-0.86	0.15
-0.52	-0.85	0.16
-0.52	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.85	0.16
-0.53	-0.85	0.17
-0.53	-0.84	0.16
-0.53	-0.84	0.16
-0.53	-0.83	0.16
-0.54	-0.84	0.16
-0.54	-0.84	0.16
-0.54	-0.85	0.16
-0.54	-0.85	0.16
-0.54	-0.85	0.16
-0.54	-0.85	0.16
-0.54	-0.84	0.16
